filter,filename,mean,std,median,resistant_mean,resistant_std,resistant_std_of_mean,sigma_clipped_mean,sigma_clipped_std,n_pixels,bg_fraction
VIS,galaxy_and_stream_convolved_8_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023360,0.001336,0.023315,0.023359,0.001333,0.000002,0.023345,0.001292,321743,0.893731
VIS,galaxy_and_stream_convolved_2_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023940,0.001281,0.023887,0.023939,0.001277,0.000002,0.023921,0.001228,333130,0.925361
VIS,galaxy_and_stream_convolved_6_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023167,0.001275,0.023108,0.023165,0.001271,0.000002,0.023145,0.001220,331126,0.919794
VIS,galaxy_and_stream_convolved_8_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023270,0.001318,0.023229,0.023269,0.001315,0.000002,0.023255,0.001273,331401,0.920558
VIS,galaxy_and_stream_convolved_2_0.6_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023870,0.001268,0.023821,0.023869,0.001264,0.000002,0.023850,0.001213,341220,0.947833
VIS,galaxy_and_stream_convolved_5_0.2_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023205,0.001573,0.023142,0.023204,0.001413,0.000003,0.023181,0.001355,314442,0.873450
VIS,galaxy_and_stream_convolved_1_0.8_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023656,0.001305,0.023615,0.023654,0.001301,0.000002,0.023637,0.001256,337370,0.937139
VIS,galaxy_and_stream_convolved_6_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023147,0.001271,0.023090,0.023146,0.001268,0.000002,0.023125,0.001216,333418,0.926161
VIS,galaxy_and_stream_convolved_7_1_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023894,0.001422,0.023857,0.023892,0.001414,0.000002,0.023878,0.001347,323874,0.899650
VIS,galaxy_and_stream_convolved_2_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023904,0.001274,0.023852,0.023902,0.001270,0.000002,0.023884,0.001219,336972,0.936033
VIS,galaxy_and_stream_convolved_5_0.15_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023315,0.001587,0.023251,0.023314,0.001425,0.000003,0.023293,0.001370,304664,0.846289
VIS,galaxy_and_stream_convolved_10_0.25_VIS_in_EUC_VIS_LSB_ObsID_2706,0.023078,0.001190,0.023039,0.023077,0.001187,0.000002,0.023062,0.001144,327822,0.910617
